trainset: 33300 / 646 | 8.349652 updates/s | train_loss: 29.298758
trainset: 33400 / 646 | 8.135559 updates/s | train_loss: 28.900305
trainset: 33500 / 646 | 7.964512 updates/s | train_loss: 30.109152
trainset: 33600 / 646 | 8.211255 updates/s | train_loss: 28.889214
trainset: 33700 / 646 | 8.418024 updates/s | train_loss: 28.029408
trainset: 33800 / 646 | 8.268257 updates/s | train_loss: 31.386730
trainset: 33900 / 646 | 8.341282 updates/s | train_loss: 29.883829
trainset: 34000 / 646 | 8.024985 updates/s | train_loss: 28.288757
trainset: 34100 / 646 | 8.383125 updates/s | train_loss: 27.648291
trainset: 34200 / 646 | 8.043515 updates/s | train_loss: 27.345238
trainset: 34300 / 646 | 8.004591 updates/s | train_loss: 28.146917
trainset: 34400 / 646 | 8.427426 updates/s | train_loss: 27.161465
trainset: 34500 / 646 | 8.301693 updates/s | train_loss: 26.797890
trainset: 34600 / 646 | 8.113862 updates/s | train_loss: 29.610994
trainset: 34700 / 646 | 8.148713 updates/s | train_loss: 29.916456
trainset: 34800 / 646 | 8.313199 updates/s | train_loss: 28.011295
trainset: 34900 / 646 | 8.349256 updates/s | train_loss: 28.380375
trainset: 35000 / 646 | 8.234554 updates/s | train_loss: 27.513294
trainset: 35100 / 646 | 7.995516 updates/s | train_loss: 29.051655
trainset: 35200 / 646 | 8.416136 updates/s | train_loss: 27.996323
trainset: 35300 / 646 | 8.239421 updates/s | train_loss: 27.480034
trainset: 35400 / 646 | 7.059209 updates/s | train_loss: 27.140011
trainset: 35500 / 646 | 7.860802 updates/s | train_loss: 26.972950
Correctly solved: 301, out of: 2272
Almost correctly solved: 2116, out of: 2272
trainset: 35600 / 646 | 6.457337 updates/s | train_loss: 27.545103
trainset: 35700 / 646 | 8.257249 updates/s | train_loss: 27.577602
trainset: 35800 / 646 | 7.938129 updates/s | train_loss: 27.363827
trainset: 35900 / 646 | 8.052279 updates/s | train_loss: 34.413471
trainset: 36000 / 646 | 8.217448 updates/s | train_loss: 29.766562
trainset: 36100 / 646 | 8.201946 updates/s | train_loss: 27.280611
trainset: 36200 / 646 | 8.157566 updates/s | train_loss: 27.521900
trainset: 36300 / 646 | 7.955531 updates/s | train_loss: 27.046848
trainset: 36400 / 646 | 8.329972 updates/s | train_loss: 26.946058
trainset: 36500 / 646 | 8.136881 updates/s | train_loss: 28.826704
trainset: 36600 / 646 | 7.945283 updates/s | train_loss: 28.295870
trainset: 36700 / 646 | 8.207775 updates/s | train_loss: 27.972321
trainset: 36800 / 646 | 8.190408 updates/s | train_loss: 27.534710
trainset: 36900 / 646 | 8.272327 updates/s | train_loss: 26.414724
trainset: 37000 / 646 | 8.116649 updates/s | train_loss: 26.570906
trainset: 37100 / 646 | 8.223381 updates/s | train_loss: 27.042988
trainset: 37200 / 646 | 8.120985 updates/s | train_loss: 27.649176
trainset: 37300 / 646 | 8.374151 updates/s | train_loss: 27.516306
trainset: 37400 / 646 | 8.108041 updates/s | train_loss: 26.975037
trainset: 37500 / 646 | 8.110244 updates/s | train_loss: 26.442352
trainset: 37600 / 646 | 8.158815 updates/s | train_loss: 26.442719
trainset: 37700 / 646 | 8.522067 updates/s | train_loss: 27.141865
trainset: 37800 / 646 | 8.318316 updates/s | train_loss: 26.987097
trainset: 37900 / 646 | 8.278162 updates/s | train_loss: 27.915020
trainset: 38000 / 646 | 8.043322 updates/s | train_loss: 26.783676
trainset: 38100 / 646 | 8.174881 updates/s | train_loss: 26.869101
trainset: 38200 / 646 | 7.933903 updates/s | train_loss: 27.482136
trainset: 38300 / 646 | 8.425270 updates/s | train_loss: 26.562424
trainset: 38400 / 646 | 8.074767 updates/s | train_loss: 26.539959
trainset: 38500 / 646 | 8.157940 updates/s | train_loss: 28.838009
